,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,ALB,7.370904538,8.586606183,8.087301841,6.471112722,5.67936591,5.539183981,5.58729815,5.723377171,5.647519863,4.478035072,5.456644882,4.791567243,4.979270685,5.311237208,5.319534429,5.001445973,4.466561335,3.630214969,3.686789462,3.881746242,4.116545923,3.37525097,3.252226962,3.934902445,3.525188276,3.46174438,3.734118282,3.433079984,3.708271809,3.625156691666666
1,Algeria,DZA,5.261433986,5.92163015,5.592648431,5.253483949,5.460441182,5.500248941,5.178414979,4.879121237,4.823883979,4.656737639,4.58721737,4.458631635,4.327700441,4.085410215,3.834944977,4.166560558,4.287191755,4.119791892,4.354684499,4.558748226,4.384638384,4.645119421,4.863765516,4.594599903,4.996239397,4.926663493,4.742174994,4.731505216,4.970712387,4.814797532333333
2,Angola,AGO,1.272402633,1.320565379,1.423069815,1.837889797,1.769496316,1.650493079,1.397086587,1.462857248,1.257620311,1.373770657,1.564321623,1.630070283,1.528210637,1.646659772,1.641216525,1.214764264,1.373084315,1.384323579,1.459530802,1.646636425,1.730141778,1.752902474,1.686622656,1.798461351,1.888410072,1.953918903,1.963676683,1.892208217,1.994526217,1.9501370390000001
3,Antigua and Barbuda,ATG,5.122893814,4.996221446,4.952227157,4.691280157,4.707914818,5.248149886,4.936219641,4.809906967,4.592618335,4.428451619,4.344973969,4.55200153,4.830428941,4.786303234,4.693571658,4.475597455,4.09268507,3.923596885,4.014283468,4.77735667,5.01220613,5.097956608,5.06804723,5.099172909,5.023000678,4.951994871,4.764393088,4.392494108,4.225829692,4.460905629333333
4,Argentina,ARG,4.646648875,4.395312112,4.161923036,4.290980692,4.097277268,4.350883452,4.275472866,4.065645539,4.08984912,4.215248757,4.597307493,4.720157014,4.984898549,4.966258957,5.098551128,4.922116113,4.847270424,4.522797471,4.51925564,4.698488907,4.412642688,4.250881984,4.386190553,4.344308763,4.470010183,4.414638111,4.51028808,4.193035463,4.205702112,4.303008551666667
5,Armenia,ARM,20.435698143333337,20.435698143333337,24.1083739,20.12096511,17.07775542,15.67138939,18.94325899,15.45122295,15.29754631,9.156584193,9.299489413,8.347682013,6.950196825,6.70174151,6.292261804,6.401490285,5.646482647,5.57026495,5.026519589,5.231384826,5.700041005,5.734424216,5.670119525,5.384982867,5.298120122,4.756990771,4.781051338,4.739788554,4.431894613,4.650911501666667
6,Australia,AUS,7.628719047,7.647868738,7.592696468,7.379981061,7.185899665,7.261767858,7.257585154,7.086886506,7.082624182,6.961642637,6.736689697,6.647419246,6.594058978,6.417195948,6.341866587,6.318187791,6.253569905,6.228912232,6.021108187,6.05070092,5.781523108,5.708710792,5.566402649,5.448042132,5.263018571,5.195928986,5.16823567,5.171460938,4.96832785,5.082148618
7,Austria,AUT,4.317040037,4.398455003,4.222863874,4.277057157,4.159872641,4.215249205,4.303347786,4.211664987,4.144682857,4.057213756,3.880668514,4.016132355,3.945936202,3.972084933,4.014977459,4.066784601,3.904020355,3.697753748,3.648743919,3.627890144,3.658626916,3.383795455,3.459062988,3.478738615,3.334324356,3.310473863,3.320726254,3.312747204,3.164345737,3.23032906
8,Azerbaijan,AZE,25.776726163333336,25.776726163333336,23.1046181,25.57758098,28.64797941,31.14421857,27.16220552,25.47823198,19.82878974,19.0436432,15.42966874,12.33043783,13.45959936,13.03634775,13.16052899,10.69090069,8.052773025,5.2886279,5.125161358,4.406273726,4.527365401,4.343730331,4.614481431,4.102057078,4.112999039,4.28951589,4.356443509,4.332527393,4.281910309,4.323627070333333
9,Bahrain,BHR,14.12436842,14.23124723,11.17854733,11.81600415,11.67239767,11.27219671,10.85512049,12.39446921,12.41053117,12.21399862,12.27235878,12.39292976,12.79470571,12.57599778,12.1771697,12.79472656,12.82243306,12.15678979,11.98267644,11.56983774,11.210235,10.87615319,11.26359046,11.88255764,11.28825044,11.11174835,10.70611739,10.561409,10.47058162,10.579369336666668
