,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Albania,ALB,3.2,2.7,3.2,2.5,2,2.2,1.8,1.8,2.2,2.8,3.1,3.4,3.6,4.1,4.2,4.5,4.4,2.931691361,4.2,2.6,3.324997882,3.428806533,3.084717014,3.575098629,3.672343193,3.584554,3.816463,4.186072188,3.74718581,
1,Algeria,DZA,24,25,26,25,25,25,24,23,25,24,25,26,28,28,30,31,31,33.51901482,0,41,42.9051,45.654043,49.303305,52.176213,53.048467,59.268298,57.660778,55.136495,56.5947672,
2,Angola,AGO,3.8,3.9,4.1,4,3.9,4.2,4,4.6,3.7,4.6,4.3,6.3,6.6,7,7.1,7.2,8.1,8.8,9.5,11,14.994773,15.824531,16.888822,19.313511,21.290396,21.394483,22.294072,19.676979,19.524073,
3,Antigua and Barbuda,ATG,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.690569119,0.7,0.7,0.7,0.690076094,0.707217069,0.705863443,0.719317413,0.751413,0.762758,0.7159054,0.7348894,
4,Argentina,ARG,57,58,59,67,61,59,64,67,71,73,70,64,58,63,63,69,71,68.16655186,78,80,98,96.03284994,100.3141954,100.9449954,101.0262161,118.285955,115.573158,95.44094293,90.16178809,
5,Armenia,ARM,--,--,7.1,3.9,2.8,3.9,4.5,4.9,5.1,5.2,5.6,5.8,6.1,6.2,6.4,6.9,6.9,7.11914633,7.3,7,1.236825608,1.170579003,1.17819559,1.077722737,1.076822704,1.001925,1.038209,1.142606,1.102585,
6,Australia,AUS,106.2183511,103.6239412,103.828733,107.5108219,111.5402617,114.0960677,116.2893688,117.6909614,119.084167,122.3648929,122.3388108,123.9342446,127.0179826,129.7198058,131.3638206,133.3246504,135.0496242,137.8918277,139.5403925,141.7269524,148.2784586,153.9051167,158.3331312,159.8666244,159.0296624,157.880366,157.0951736,164.9549552,167.2665086,165.4665395
7,Austria,AUT,33.693727,36.67541,36.21492,37.558967,37.058542,36.842263,40.415629,40.750791,41.996921,40.001522,39.360402,42.123987,43.400735,45.399595,46.91419628,46.18933928,47.09684452,46.32647052,44.91990552,42.39899628,44.25324228,41.66057776,41.583891,42.242524,41.15568876,41.04608876,41.61779376,41.331275,42.634555,43.437652
8,Azerbaijan,AZE,--,--,29,29,28,28,21,20,24,24,20,18,17,16,17,17,18,13.7,15,10,10.47970796,11.86232063,12.50568169,12.8993127,12.84424651,12.87571355,12.83157079,13.196646,12.584779,
9,Bahrain,BHR,2.9,3,3.1,3,3.1,3.2,3,2.8,3.2,3.8,3.5,3.3,3.3,3.6,4,4.3,5.6,5.43673315,6.2,6.4,6.3,8.127910608,8.115816023,7.921291,8.10461,8.408209,9.088786,7.764037,7.511175,
