,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Angola,AGO,27.94341003,16.27983673,26.63800664,31.73059654,36.50885151,39.3511349,43.81466546,37.32050846,16.09034555,37.83741687,53.87329439,36.84146335,26.58661813,22.77500244,39.39508812,45.25057071,43.01683456,45.78261637,55.38341936,30.18239771,39.67550426,40.70719732,35.79568651,30.38988354,23.27044658,10.34477721,10.28979071,15.8255471,26.231511100000002,25.09030304
1,Albania,ALB,7.552769602000001,4.108113118,4.292201849,2.341223579,1.324978994,1.056173413,1.053315115,1.135136245,0.17592099,0.441779765,0.945520258,0.650141974,0.664610136,0.64451264,0.682981057,0.9265169990000001,1.116130858,0.839428176,0.9162252759999999,0.459639845,1.3574821519999998,2.7381630869999998,3.0084756610000003,2.649667207,2.776633513,1.337058538,1.1563730620000001,1.139781815,1.545188075,1.353546427
2,United Arab Emirates,ARE,36.24234246,24.41173971,23.1054209,20.26978283,17.59750369,17.49825469,19.91778472,17.05215208,11.22898719,14.17111984,21.11876578,16.22614008,14.67297205,17.09744635,20.10158003,24.85957236,25.06252785,22.87601288,27.34834029,18.01948453,21.72186138,28.81929552,28.52954561,25.77751274,23.04637103,13.12454356,10.82449631,13.04211312,16.58695057,16.19750695
3,Argentina,ARG,2.2234650769999997,0.943813344,0.9641399509999999,0.9630191359999999,0.885737102,1.065655147,1.419268271,1.248429346,0.639270077,1.1298492390000001,1.988696409,1.6133996480000001,4.708040861000001,4.17733204,4.06691283,4.841347281,4.827765887,3.923236035,4.145675861,2.131029045,2.3360686580000003,2.6889024619999997,2.425584474,2.2167864880000003,2.0568502790000003,0.712016894,0.537246825,0.7238472509999999,1.4150967819999998,1.532573846
4,Armenia,ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Antigua and Barbuda,ATG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Australia,AUS,1.253724909,0.642433059,0.6960862520000001,0.666532024,0.618007601,0.620470025,0.7302798309999999,0.611584495,0.312685552,0.523036465,1.297913645,0.928857192,0.879958293,0.708159048,0.667582844,0.9341970209999999,0.9894804629999999,0.9295523809999999,1.06806191,0.637010901,0.775216715,0.833347947,0.71593009,0.534822879,0.534261539,0.20609123,0.171619815,0.210123173,0.314528236,0.36874401
7,Austria,AUT,0.06749575599999999,0.035566892,0.030003446,0.028081801,0.02337621,0.024013925,0.032144848999999996,0.024974989,0.006678773000000001,0.021094371,0.056171175999999996,0.040528677,0.039559736,0.036860044,0.044050155,0.05672126,0.063944003,0.060162169,0.07351677,0.042362819,0.063797373,0.093193062,0.09095278,0.074783974,0.069577213,0.032624758999999996,0.023109082000000003,0.031692978999999996,0.043672455,0.038360828
8,Azerbaijan,AZE,14.41574809,6.562572382000001,10.88368321,12.41299148,12.57954086,14.48863295,19.64385192,12.44974334,3.677309643,15.33261938,31.11703336,22.52792156,22.42662568,22.98314135,26.28947735,36.02410364,39.68136218,36.41182989,37.08919051,24.61049665,29.37474789,31.82132233,27.82154764,23.71279867,20.48314902,12.06793911,13.19513821,17.85613455,25.30762431,21.86278266
9,Burundi,BDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
